BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.81,5,229.73,-315.14,-33.67,-99.12,116.73,-102.14,0.55,-0.52
2.82,5,242.98,-326.92,26.4,-103.31,135.1,-105.08,0.55,-0.52
2.82,5,260.65,-338.7,77.7,-107.54,178.04,-118.69,0.55,-0.52
2.82,5,278.33,-350.48,117.6,-111.87,165.38,-120.28,0.55,-0.52
2.81,9,296,-362.26,140.83,-115.45,180.13,-120.68,0.55,-0.52
2.83,9,307.78,-369.63,149.2,-111.28,113.16,-70.73,0,0
2.82,9,307.78,-369.63,106.84,-76.64,0,-0,0,0
2.7,9,313.67,-365.21,69.23,-43.02,59.98,44.98,1.13,1.13
2.74,9,340.18,-344.59,115.23,31.15,271.48,211.15,1.13,1.13
2.76,9,371.1,-325.45,187.03,104.81,322.78,190.74,1.13,1.13
2.68,9,382.88,-313.67,215.99,130.18,115.42,115.42,-1.16,-1.16
2.73,9,356.37,-334.29,78.27,43.6,-271.8,-196.3,-1.07,-1.07
2.75,9,322.5,-357.85,-82.04,-66.13,-330.56,-240.41,-0.93,-0.93
2.81,9,294.52,-379.94,-172.56,-130.28,-285.29,-225.23,-0.82,-0.82
2.82,9,266.54,-399.08,-212.84,-159.1,-286.29,-195.88,-0.68,-0.68
2.81,9,244.46,-413.81,-225.14,-160.63,-230.54,-153.69,-0.57,-0.57
2.82,9,226.78,-425.59,-212.9,-150.72,-176.48,-117.65,-0.45,-0.45
2.81,9,216.48,-434.42,-184.55,-133.29,-105.2,-90.18,-0.34,-0.34
2.82,5,212.06,-441.79,-140.49,-110.99,-44.14,-73.56,-0.34,-0.34
2.81,9,204.69,-449.15,-110.56,-96.11,-70.1,-70.1,-0.34,-0.34
2.82,9,198.8,-453.57,-94.25,-83.16,-58.89,-44.17,0,0
2.7,9,204.69,-449.15,-60.77,-53.18,56.44,42.33,1.14,1.14
2.72,9,229.73,-430.01,34.26,23.49,268.94,209.18,1.14,1.14
2.79,9,260.65,-404.97,131.25,102.28,317.36,241.8,1.14,1.14
2.67,9,276.85,-397.61,193.89,135.63,155.61,84.88,-1.16,-1.16
2.77,9,248.87,-418.22,70.89,42.48,-276.54,-203.77,-1.06,-1.06
2.78,9,217.95,-443.26,-86.38,-67.4,-307.51,-246.01,-0.93,-0.93
2.8,9,189.97,-463.88,-160.18,-130.43,-285.12,-210.09,-0.82,-0.82
2.82,9,164.93,-483.02,-202.11,-158.19,-252.74,-193.27,-0.69,-0.69
2.82,9,142.84,-499.22,-214.95,-166.29,-208.57,-163.87,-0.57,-0.57
2.83,9,125.17,-512.47,-208.49,-157.05,-178.82,-123.8,-0.46,-0.46
2.82,9,116.34,-521.31,-174.71,-138,-88.19,-88.19,-0.34,-0.34
