BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.07,7,2180.95,-1322.41,0,0
3.07,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.07,7,2180.95,-1322.41,0,0
3.07,7,2180.95,-1322.41,0,0
3.07,7,2180.95,-1322.41,0,0
3.06,7,2180.95,-1322.41,0,0
3.02,7,2180.95,-1322.41,0,0
3.02,7,2180.95,-1322.41,0,0
3.01,7,2180.95,-1322.41,0,0
3.01,7,2180.95,-1322.41,0,0
3.01,7,2180.95,-1322.41,0,0
2.87,8,2178.01,-1325.36,-2.35,-2.21
2.86,8,2020.44,-1515.33,-180.29,-210.73
2.98,8,1845.19,-1721.49,-167.53,-207.12
3,8,1937.97,-1830.47,94.96,-110.39
3,8,2041.05,-1942.39,105.09,-112.4
2.86,8,2142.66,-2045.47,101.48,-104.58
3,8,2101.43,-2104.38,-92.26,-123.99
3,8,2076.4,-2141.19,-102.79,-133.85
3,5,2102.9,-2085.23,7.31,84.4
3,5,2102.9,-1998.35,0.01,89.35
3,5,2117.63,-1954.17,34.45,-16.76
3,5,2183.9,-2046.94,70.64,-95.67
3,5,2248.69,-2138.25,58.14,-82.98
3,9,2260.47,-2192.73,20.42,-43.43
3.01,6,2260.47,-2192.73,0.17,-0.36
2.99,6,2391.54,-2083.76,139.92,119.19
3,6,2532.91,-1952.7,141.93,133.18
2.99,6,2669.86,-1814.27,134.78,138.78
3.04,7,2728.77,-1756.84,22.08,25.43
3.06,7,2728.77,-1756.84,0.16,0.19
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.05,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.07,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.06,7,2728.77,-1756.84,0,0
3.02,7,2728.77,-1756.84,0,0
3.01,7,2728.77,-1756.84,0,0
3.01,7,2728.77,-1756.84,0,0
3.01,7,2728.77,-1756.84,0,0
3.01,7,2728.77,-1756.84,0,0
3,7,2728.77,-1756.84,0,0
2.85,8,2618.32,-1884.96,-167.09,-185.67
2.86,8,2435.72,-2097.01,-180.93,-211.71
3,8,2454.86,-2231.02,88.04,-114.27
3,8,2557.94,-2344.41,106.45,-112.61
3,8,2662.5,-2456.33,103.68,-110.16
2.98,8,2665.45,-2518.18,-97.86,-130.8
2.84,8,2649.25,-2556.47,-64.02,-86.52
2.99,5,2622.74,-2638.94,9.89,-49.4
3,5,2622.74,-2684.59,0.08,-44.43
2.99,5,2615.38,-2680.17,-3,10.75
3,5,2615.38,-2680.17,-0.02,0.08
3,5,2655.14,-2644.83,64.54,71.37
2.99,5,2727.3,-2556.47,72.04,91.44
2.99,5,2781.78,-2466.64,42.05,89.09
3,5,2830.38,-2373.87,50.63,93.96
2.99,5,2877.5,-2285.51,52.03,87.85
3,5,2933.46,-2198.62,51.3,68.47
3,5,2930.52,-2198.62,-0.63,0.48
2.99,5,2930.52,-2198.62,-0,0
2.99,5,2934.93,-2198.62,1.56,0
2.99,5,2934.93,-2198.62,0.03,0
2.99,5,2955.55,-2235.44,21.52,-51.02
2.84,5,2959.97,-2251.64,3.39,0.56
2.83,5,2883.39,-2175.06,-54.41,20.59
2.99,5,2815.65,-2266.36,-105.77,-145.82
2.98,5,2797.98,-2312.02,-2.8,-66.17
2.99,5,2797.98,-2382.7,-0.02,-72.87
2.99,5,2781.78,-2360.61,-14.68,64.51
2.99,5,2781.78,-2294.34,-0.12,66.36
2.99,5,2781.78,-2223.66,-0,79.13
2.99,5,2781.78,-2135.3,-0,86.59
2.99,5,2781.78,-2055.78,-0,79.69
2.99,9,2781.78,-2020.44,-0,7.49
2.99,6,2818.6,-1970.37,87.1,116.19
2.98,6,2946.72,-1831.94,135.89,139.54
2.99,6,3080.72,-1693.51,130.42,137.13
2.98,6,3220.62,-1563.92,150.25,121.43
2.98,6,3372.3,-1438.75,140.63,134.34
2.96,6,3503.37,-1335.67,127.49,66.8
2.88,6,3603.5,-1272.35,96.27,60.48
3.11,7,3621.18,-1272.35,2.27,0.51
3.11,7,3621.18,-1272.35,0.02,0
3.11,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.11,7,3621.18,-1272.35,0,0
3.01,7,3621.18,-1272.35,0,0
3.13,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.13,7,3621.18,-1272.35,0,0
3.13,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.1,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.13,7,3621.18,-1272.35,0,0
3.13,7,3621.18,-1272.35,0,0
3.12,7,3621.18,-1272.35,0,0
3.02,7,3621.18,-1272.35,0,0
3.01,7,3621.18,-1272.35,0,0
3.01,7,3621.18,-1272.35,0,0
3,7,3621.18,-1272.35,0,0
3.01,8,3621.18,-1272.35,0,0
2.85,8,3481.28,-1447.59,-164.51,-200.57
2.85,8,3286.89,-1652.28,-196.07,-206.59
3.01,8,3356.1,-1770.09,89.93,-108.97
3,8,3457.72,-1883.48,101.85,-112.15
3,8,3553.44,-1989.51,96.26,-107.19
3,8,3535.76,-2044,-90.67,-133.14
3,8,3518.09,-2073.45,-92.94,-131.7
3,5,3534.29,-2052.83,38.51,64.96
3,5,3579.94,-1982.15,46.93,73.43
3,5,3647.68,-1887.9,73.54,98.59
2.99,5,3712.48,-1799.54,54.46,66.24
3,5,3711.01,-1834.89,0.24,-40.05
